书名,img_url,作者,简介
Getting to Know Vue.js,http://www.allitebooks.com/wp-content/uploads/2018/09/Getting-to-Know-Vue-js.jpg, Brett Nelson,"Learn how to render lists of items without repeating your code structure and how to work with conditional rendering items and event handling. Containing all you need to know to get started with Vue.js, this book will take you through using build tools (transpile to ES5), creating custom…"
"Professional Android, 4th Edition",http://www.allitebooks.com/wp-content/uploads/2018/08/Professional-Android-4th-Edition.jpg," Ian Lake, Reto Meier","The comprehensive developer guide to the latest Android featuresand capabilities Professional Android, 4th Edition shows developers how toleverage the latest features of Android to create robust andcompelling mobile apps. This hands-on approach provides in-depthcoverage through a series of projects, each introducing a newAndroid platform feature and highlighting the techniques…"
Deep Learning with Azure,http://www.allitebooks.com/wp-content/uploads/2018/08/Deep-Learning-with-Azure.jpg," Danielle Dean, Mathew Salvaris, Wee Hyong Tok",Get up-to-speed with Microsoft’s AI Platform. Learn to innovate and accelerate with open and powerful tools and services that bring artificial intelligence to every data scientist and developer. Artificial Intelligence (AI) is the new normal. Innovations in deep learning algorithms and hardware are happening at a rapid pace….
Getting Started with React,http://www.allitebooks.com/wp-content/uploads/2018/08/Getting-Started-with-React-400x500.jpg," Danillo Corvalan, Doel Sengupta, Manu Singhal","ReactJS, popularly known as the V (view) of the MVC architecture, was developed by the Facebook and Instagram developers. It follows a unidirectional data flow, virtual DOM, and DOM difference that are generously leveraged in order to increase the performance of the UI. Getting Started with React will…"
Kafka Streams in Action,http://www.allitebooks.com/wp-content/uploads/2018/08/Kafka-Streams-in-Action.jpg, Bill Bejeck,Kafka Streams is a library designed to allow for easy stream processing of data flowing into a Kafka cluster. Stream processing has become one of the biggest needs for companies over the last few years as quick data insight becomes more and more important but current solutions can…
"Firewalls Don’t Stop Dragons, 3rd Edition",http://www.allitebooks.com/wp-content/uploads/2018/08/Firewalls-Dont-Stop-Dragons.jpg, Carey Parker,"Rely on this practical, end-to-end guide on cyber safety and online security written expressly for a non-technical audience. You will have just what you need to protect yourself―step by step, without judgment, and with as little jargon as possible. Just how secure is your computer right now? You…"
"Microsoft BizTalk Server (70-595) Certification and Assessment Guide, Second Edition",http://www.allitebooks.com/wp-content/uploads/2018/08/Microsoft-BizTalk-Server-70-595-Certification-and-Assessment-Guide-Second-Edition-400x493.jpg," Johan Hedberg, Kent Weare, Morten la Cour","Microsoft BizTalk Server is an integration and connectivity server solution that enables organizations to easily connect disparate systems. Developing Business Process and Integration Solutions by Using Microsoft BizTalk Server 2010 (70-595) is the certification exam for professionals who need to integrate multiple disparate systems, applications, and data, as…"
Asynchronous Android,http://www.allitebooks.com/wp-content/uploads/2018/08/Asynchronous-Android-400x493.jpg, Steve Liles,"With more than a million apps available from Google Play, it is more important than ever to build apps that stand out from the crowd. To be successful, apps must react quickly to user input, deliver results in a flash, and sync data in the background. Multithreading is…"
Practical Video Game Bots,http://www.allitebooks.com/wp-content/uploads/2018/08/Practical-Video-Game-Bots.jpg, Ilya Shpigor,"Develop and use bots in video gaming to automate game processes and see possible ways to avoid this kind of automation. This book explains how bots can be very helpful in games such as multiplayer online games, both for training your character and for automating repetitious game processes…"
Coding All-in-One For Dummies,http://www.allitebooks.com/wp-content/uploads/2018/08/Coding-All-in-One-For-Dummies.jpg, Nikhil Abraham,See all the things coding can accomplish The demand for people with coding know-how exceeds the number of people who understand the languages that power technology. Coding All-in-One For Dummies gives you an ideal place to start when you’re ready to add this valuable asset to your professional repertoire. Whether…
